dbPath,dbDate,sessionId,runId,outputDir,sceneName,sceneDirName,title,messageCount,partCount,assistantReplyCount,followUpCount,status,stopReason
db/2026-03-09.db,2026-03-09,ses_32cf53f2bffeUbpUMAMUdK7Vsz,ses_32cf53f2bffeUbpUMAMUdK7Vsz,exports/2026-03-09/初中偶像观思辨引导员/ses_32cf53f2bffeUbpUMAMUdK7Vsz,初中偶像观思辨引导员,初中偶像观思辨引导员,Greeting in Chinese conversation,6,15,3,2,completed,student_done
db/2026-03-09.db,2026-03-09,ses_32d4759d9ffeDc5cxZ1H5zlzFD,ses_32d4759d9ffeDc5cxZ1H5zlzFD,exports/2026-03-09/初中偶像观思辨引导员/ses_32d4759d9ffeDc5cxZ1H5zlzFD,初中偶像观思辨引导员,初中偶像观思辨引导员,Greeting in Chinese conversation,6,15,3,2,completed,student_done
db/2026-03-10.db,2026-03-10,ses_327f99807ffeeP6gm6IyUSOgcz,ses_327f99807ffeeP6gm6IyUSOgcz,exports/2026-03-10/中考语文专项复习导师/ses_327f99807ffeeP6gm6IyUSOgcz,中考语文专项复习导师,中考语文专项复习导师,中考语文试卷设计方案,3,10,2,0,completed,student_done
db/2026-03-10.db,2026-03-10,ses_327fa0a18ffemp36nEZi3BHH10,ses_327fa0a18ffemp36nEZi3BHH10,exports/2026-03-10/中考体育模拟测评官/ses_327fa0a18ffemp36nEZi3BHH10,中考体育模拟测评官,中考体育模拟测评官,Greeting in Chinese conversation,2,5,1,0,completed,student_done
db/2026-03-10.db,2026-03-10,ses_3284daec5ffeZSXlsA4tu2GmfI,ses_3284daec5ffeZSXlsA4tu2GmfI,exports/2026-03-10/中考体育模拟测评官/ses_3284daec5ffeZSXlsA4tu2GmfI,中考体育模拟测评官,中考体育模拟测评官,Greeting in Chinese discussion,2,5,1,0,completed,student_done
db/2026-03-10.db,2026-03-10,ses_328d59496ffeifF4iZY54Tn1Tl,ses_328d59496ffeifF4iZY54Tn1Tl,exports/2026-03-10/中考体育模拟测评官/ses_328d59496ffeifF4iZY54Tn1Tl,中考体育模拟测评官,中考体育模拟测评官,球类评测技能要点与方法,3,9,1,0,completed,student_done
db/2026-03-10.db,2026-03-10,ses_328fb8de9ffeJCqGbY2d41BuDK,ses_328fb8de9ffeJCqGbY2d41BuDK,exports/2026-03-10/中考体育模拟测评官/ses_328fb8de9ffeJCqGbY2d41BuDK,中考体育模拟测评官,中考体育模拟测评官,球类评测技能要点与内容,3,9,1,0,completed,student_done
db/2026-03-10.db,2026-03-10,ses_3290ab15dffeabCkFAGLLc675C,ses_3290ab15dffeabCkFAGLLc675C,exports/2026-03-10/中考体育模拟测评官/ses_3290ab15dffeabCkFAGLLc675C,中考体育模拟测评官,中考体育模拟测评官,体育球类测评技能细节讨论,3,9,1,0,completed,student_done
db/2026-03-10.db,2026-03-10,ses_3290af638ffeB74WgCdRbQ3CWi,ses_3290af638ffeB74WgCdRbQ3CWi,exports/2026-03-10/中考体育模拟测评官/ses_3290af638ffeB74WgCdRbQ3CWi,中考体育模拟测评官,中考体育模拟测评官,技能清单与能力介绍,2,5,1,0,completed,student_done
db/2026-03-10.db,2026-03-10,ses_3290b44ccffeYFI5fnwSPjr3Bb,ses_3290b44ccffeYFI5fnwSPjr3Bb,exports/2026-03-10/中考体育模拟测评官/ses_3290b44ccffeYFI5fnwSPjr3Bb,中考体育模拟测评官,中考体育模拟测评官,球类技能细节讨论,2,5,1,0,completed,student_done
db/2026-03-10.db,2026-03-10,ses_329270861ffeyBwlepXwMo0JD7,ses_329270861ffeyBwlepXwMo0JD7,exports/2026-03-10/中考体育模拟测评官/ses_329270861ffeyBwlepXwMo0JD7,中考体育模拟测评官,中考体育模拟测评官,手势技能细节说明,3,12,1,0,completed,student_done
db/2026-03-10.db,2026-03-10,ses_3298034beffeDik7Q8YM4o3H31,ses_3298034beffeDik7Q8YM4o3H31,exports/2026-03-10/中考体育模拟测评官/ses_3298034beffeDik7Q8YM4o3H31,中考体育模拟测评官,中考体育模拟测评官,New session - 2026-03-10T06:47:05.281Z,2,5,1,0,completed,student_done
db/2026-03-10.db,2026-03-10,ses_329832eadffelQxBzkHSd6QsSQ,ses_329832eadffelQxBzkHSd6QsSQ,exports/2026-03-10/中考语文备考顾问/ses_329832eadffelQxBzkHSd6QsSQ,中考语文备考顾问,中考语文备考顾问,Greeting in Chinese conversation,5,14,2,1,completed,student_done
db/2026-03-10.db,2026-03-10,ses_329fb3e5dffelAE1ETE0a7qfAZ,ses_329fb3e5dffelAE1ETE0a7qfAZ,exports/2026-03-10/初中体育裁判实训指导/ses_329fb3e5dffelAE1ETE0a7qfAZ,初中体育裁判实训指导,初中体育裁判实训指导,AI capabilities and skills overview,2,5,1,0,completed,student_done
db/2026-03-10.db,2026-03-10,ses_32a223c23ffejZcJ9DrQQWS518,ses_32a223c23ffejZcJ9DrQQWS518,exports/2026-03-10/初中体育裁判实训指导/ses_32a223c23ffejZcJ9DrQQWS518,初中体育裁判实训指导,初中体育裁判实训指导,Chinese capabilities overview,2,5,1,0,completed,student_done
db/2026-03-11.db,2026-03-11,ses_322a77634ffecpmlTz02LPerJ6,ses_322a77634ffecpmlTz02LPerJ6,exports/2026-03-11/中考语文专项复习导师/ses_322a77634ffecpmlTz02LPerJ6,中考语文专项复习导师,中考语文专项复习导师,New session - 2026-03-11T14:41:33.131Z,2,5,1,0,completed,student_done
